fund_id,fund_name,date,nav,ma_200,ma_50,nav_over_ma200,distance_from_ma200,volatility_30d,category,aum_cr,category_code
119383,HDFC Top 100 Fund,2024-07-25,12.8795,12.973498,12.973498,0.9927546140601402,-0.0072453859398597924,0.019680888322383034,Equity,8000,0
119383,HDFC Top 100 Fund,2024-07-26,12.8865,12.971792156862746,12.975318000000001,0.9934247977587567,-0.006575202241243272,0.018781357309373095,Equity,8000,0
119383,HDFC Top 100 Fund,2024-07-29,12.9023,12.97045576923077,12.97527,0.9947453065302106,-0.005254693469789374,0.018727578782903376,Equity,8000,0
119383,HDFC Top 100 Fund,2024-07-30,12.8971,12.969071698113208,12.971018,0.9944505127438166,-0.005549487256183372,0.01553506483631114,Equity,8000,0
119383,HDFC Top 100 Fund,2024-07-31,12.8984,12.967762962962963,12.972956,0.9946511234697095,-0.005348876530290472,0.015281964413909494,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-07,12.8216,12.965105454545453,12.971219999999999,0.9889314086145639,-0.011068591385436151,0.015278186605006676,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-08,12.9267,12.964419642857143,12.970012000000002,0.997090525924319,-0.002909474075681023,0.014187744715637732,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-10,13.1064,12.966910526315791,12.962594000000001,1.0107573406480381,0.010757340648038054,0.014389745073536672,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-11,13.4154,12.974643103448276,12.974802,1.0339706374223567,0.03397063742235683,0.011033489473268453,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-13,12.9387,12.974033898305084,12.973744,0.9972765680603239,-0.002723431939676006,0.012965226802591321,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-14,12.9462,12.97357,12.970522,0.9978903262556104,-0.0021096737443896496,0.012965189806803622,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-16,12.9495,12.973175409836065,12.959844,0.9981750489692667,-0.0018249510307333234,0.0129652506605528,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-19,12.9579,12.972929032258063,12.96281,0.9988415081728503,-0.0011584918271496257,0.01296506442877308,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-20,12.9597,12.972719047619048,12.962095999999999,0.9989964287693845,-0.0010035712306154974,0.012965268809617441,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-21,12.9636,12.9725765625,12.959412,0.9993080354965143,-0.0006919645034857273,0.012965335267962699,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-22,12.9675,12.972498461538462,12.950678,0.9996146878295432,-0.0003853121704568137,0.012964985934371606,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-23,12.9691,12.97244696969697,12.940282,0.9997419939580567,-0.00025800604194325965,0.012964453349161728,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-26,12.9782,12.972532835820896,12.945428000000001,1.0004368587268828,0.00043685872688287955,0.012964184321666197,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-27,12.9783,12.972617647058824,12.94874,1.000438026703305,0.0004380267033049594,0.01296443728593604,Equity,8000,0
119383,HDFC Top 100 Fund,2024-08-28,12.9818,12.972750724637683,12.94989,1.0006975602595316,0.0006975602595316015,0.012932415656991426,Equity,8000,0
